Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cabo Verde,CPV,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Costa Rica,CRI,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.344,201.685,381.368,308.028,128.345,146.68,297.027,293.36,253.023,231.021,341.031,297.027,304.361,304.361,275.025,300.694,,,,,
Caribbean small states,CSS,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,113.677,425.372,124.678,187.017,238.355,242.022,168.682,245.689,154.014,183.35,172.349,139.346,139.346,121.011,124.678,150.347,128.345,234.688,242.022,201.685,253.023,253.023,344.698,238.355,267.691,275.025,264.024,282.359,304.361,443.707,550.05,374.034,172.349,220.02,234.688,216.353,69.673,73.34,88.008,91.675,84.341,66.006,69.673,99.009,102.676,77.007,25.669,73.34,91.675,88.008,77.007,11.001,14.668,36.67,3.667,22.002,7.334,,,,,
Curacao,CUW,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,
Cayman Islands,CYM,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Cyprus,CYP,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,3.667,0,3.667,3.667,0,3.667,7.334,3.667,0,0,0,0,0,0,0,0,0,0,139.346,198.018,146.68,399.703,242.022,198.018,256.69,256.69,69.673,80.674,73.34,51.338,47.671,51.338,69.673,80.674,128.345,143.013,139.346,139.346,154.014,139.346,143.013,132.012,106.343,55.005,69.673,33.003,0,0,11.001,14.668,0,,,,,
Czechia,CZE,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101938.933,97149.831,90604.236,88609.388,87164.59,89163.105,82954.874,73083.31,86471.527,84223.656,80475.982,81964.784,75485.195,79020.183,81704.427,82668.848,76361.608,69419.977,72683.607,70996.787,67036.427,66028.002,61935.63,63182.41,63915.81,,,,,
Germany,DEU,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445782.522,405548.198,381195.651,370755.702,354525.56,352281.356,336109.886,327903.14,312281.72,328060.821,334852.105,326117.311,328387.184,330268.355,315967.055,329509.286,334448.735,311654.663,279557.412,306465.858,301618.084,309597.476,316190.742,308387.366,308486.375,298574.474,,,,,
Djibouti,DJI,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
